Year,Country/area,Sector,Technology,Sub Technology,Number of Patents
2000,Brazil,Transport,Enabling Technologies,Electromobility - Electric Energy Management,4
2000,Brazil,Transport,Enabling Technologies,Electromobility - Energy Storage,5
2000,Brazil,Transport,Enabling Technologies,Electromobility - Information/Communication Technologies,1
2000,Brazil,Transport,Enabling Technologies,Electromobility - Machine related technology ,5
2000,Brazil,Transport,Enabling Technologies,Energy Efficiency,18
2000,Brazil,Transport,Enabling Technologies,Hydrogen (storage and distribution and applications),2
2000,Brazil,Waste,Solar Energy,PV - Thermal Hybrid,3
2000,Bulgaria,Building,Solar Energy,PV,1
2000,Bulgaria,CCUS,Enabling Technologies,CCUS,1
2000,Bulgaria,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),1
2000,Bulgaria,Power,Bioenergy,Biofuels,1
2000,Bulgaria,Power,Enabling Technologies,Batteries,1
2000,Bulgaria,Power,Enabling Technologies,Fuel Cells,1
2000,Bulgaria,Power,Ocean Energy,Ocean Energy,1
2000,Bulgaria,Power,Solar Energy,PV,1
2000,Bulgaria,Power,Solar Energy,Solar Thermal,4
2000,Canada,Building,Enabling Technologies,Energy Efficiency,22
2000,Canada,Building,Enabling Technologies,Fuel Cells,6
2000,Canada,Building,Enabling Technologies,Smart Grids,32
2000,Canada,Building,Hydropower,Hydropower,1
2000,Canada,Building,Solar Energy,PV,4
2000,Canada,Building,Solar Energy,PV - Thermal Hybrid,1
2000,Canada,Building,Solar Energy,Solar Thermal,11
2000,Canada,Building,Wind Energy,Wind Energy,6
2000,Canada,CCUS,Enabling Technologies,CCUS,42
2000,Canada,Industry,Bioenergy,Fuel from waste,2
2000,Canada,Industry,Enabling Technologies,CCUS,2
2000,Canada,Industry,Enabling Technologies,Cross-cutting,2
2000,Canada,Industry,Enabling Technologies,Energy Efficiency,7
2000,Canada,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),24
2000,Canada,Power,Bioenergy,Biofuels,47
2000,Canada,Power,Bioenergy,Fuel from waste,31
2000,Canada,Power,Enabling Technologies,Batteries,281
2000,Canada,Power,Enabling Technologies,Energy Storage - General,2
2000,Canada,Power,Enabling Technologies,Fuel Cells,317
2000,Canada,Power,Enabling Technologies,Thermal energy storage,9
2000,Canada,Power,Enabling Technologies,"Ultracapacitors, supercapacitors, double-layer capacitors",26
2000,Canada,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),43
2000,Canada,Power,Enabling Technologies,Green hydrogen (water eloctrolysis),22
2000,Canada,Power,Enabling Technologies,"Mechanical energy storage, e.g. flywheels or pressurised fluids",5
2000,Canada,Power,Hydropower,Hydropower,25
2000,Canada,Power,Ocean Energy,Ocean Energy,13
2000,Canada,Power,Solar Energy,PV,37
2000,Canada,Power,Solar Energy,PV - Thermal Hybrid,1
